piste,nimi,x_gk25,y_gk25,suunta,aika,vuosi,ha,pa,ka,ra,la,mp,rv,autot
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,1.0,2011,76,5,1,0,5,0,0,316
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,2.0,2011,65,5,1,0,4,0,0,251
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,3.0,2011,61,4,1,0,4,0,0,176
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,4.0,2011,52,4,1,0,3,0,0,146
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,5.0,2011,31,2,0,0,2,0,0,170
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,6.0,2011,76,5,1,0,5,0,0,381
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,7.0,2011,42,4,1,0,7,0,0,187
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,7.15,2011,45,4,3,0,8,0,0,260
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,7.3,2011,60,6,2,0,9,1,0,364
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,7.45,2011,77,6,3,0,10,1,0,403
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,8.0,2011,40,12,0,0,9,0,0,459
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,8.15,2011,55,14,4,0,8,0,0,625
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,8.3,2011,84,46,6,0,12,6,0,856
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,8.45,2011,90,12,0,0,13,4,0,892
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,9.0,2011,105,15,0,0,12,0,0,1155
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,9.15,2011,66,0,3,0,9,0,0,1336
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,9.3,2011,97,6,12,0,9,0,0,1428
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,9.45,2011,113,22,0,0,15,3,0,1232
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,10.0,2011,326,47,12,0,37,6,0,3530
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,11.0,2011,260,93,24,0,12,6,0,2665
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,12.0,2011,316,58,13,0,12,15,0,2908
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,13.0,2011,353,69,25,1,21,0,0,3055
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,14.0,2011,388,64,20,0,23,4,0,3002
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,15.0,2011,385,71,12,0,29,9,0,3004
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,16.0,2011,96,10,3,0,6,2,0,806
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,16.15,2011,109,11,3,0,11,5,0,819
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,16.3,2011,120,14,0,0,10,2,0,876
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,16.45,2011,105,13,2,0,6,2,0,827
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,17.0,2011,119,15,1,0,10,12,0,937
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,17.15,2011,130,9,2,0,6,4,0,932
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,17.3,2011,113,13,0,0,9,0,0,861
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,17.45,2011,110,5,0,0,8,2,0,762
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,18.0,2011,120,8,0,0,7,4,0,843
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,18.15,2011,90,4,0,0,5,4,0,748
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,18.3,2011,73,5,1,0,6,2,0,800
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,18.45,2011,80,6,1,0,8,3,0,788
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,19.0,2011,334,28,1,1,26,7,0,2910
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,20.0,2011,422,24,5,0,28,3,0,2335
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,21.0,2011,329,23,5,0,21,3,0,1885
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,22.0,2011,266,20,4,0,16,0,0,1322
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,23.0,2011,170,12,3,0,10,0,0,808
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,24.0,2011,130,9,2,0,8,0,0,536
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,1.0,2011,95,7,1,0,6,0,0,389
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,2.0,2011,55,4,1,0,3,0,0,261
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,3.0,2011,67,5,1,0,4,0,0,177
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,4.0,2011,59,5,1,0,4,0,0,160
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,5.0,2011,24,2,0,0,1,0,0,116
A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,6.0,2011,56,4,1,0,3,0,0,269
