piste,nimi,x_gk25,y_gk25,suunta,aika,vuosi,ha,pa,ka,ra,la,mp,rv,autot,Kk,Kuolleet,Loukkaant,Vakavuusko,Ontyyppi,Onluokka,Osallkm,Nopraj,Kvl,Raskaskvl,Tietyö,Onnettomuus
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,1,2011,76,5,1,0,5,0,0,87,,,,,,,,,,,,0
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,2,2011,65,5,1,0,4,0,0,75,,,,,,,,,,,,0
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,3,2011,61,4,1,0,4,0,0,70,,,,,,,,,,,,0
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,4,2011,52,4,1,0,3,0,0,60,,,,,,,,,,,,0
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,5,2011,31,2,0,0,2,0,0,35,,,,,,,,,,,,0
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,6,2011,76,5,1,0,5,0,0,87,,,,,,,,,,,,0
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,7,2011,224,20,9,0,34,2,0,287,,,,,,,,,,,,0
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,8,2011,269,84,10,0,42,10,0,405,,,,,,,,,,,,0
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,9,2011,381,43,15,0,45,3,0,484,,,,,,,,,,,,0
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,10,2011,326,47,12,0,37,6,0,422,,,,,,,,,,,,0
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,11,2011,260,93,24,0,12,6,0,389,,,,,,,,,,,,0
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,12,2011,316,58,13,0,12,15,0,399,,,,,,,,,,,,0
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,13,2011,353,69,25,1,21,0,0,469,,,,,,,,,,,,0
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,14,2011,388,64,20,0,23,4,0,495,,,,,,,,,,,,0
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,15,2011,385,71,12,0,29,9,0,497,,,,,,,,,,,,0
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,16,2011,430,48,8,0,33,11,0,519,,,,,,,,,,,,0
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,17,2011,472,42,3,0,33,18,0,550,,,,,,,,,,,,0
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,18,2011,363,23,2,0,26,13,0,414,,,,,,,,,,,,0
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,19,2011,334,28,1,1,26,7,0,390,,,,,,,,,,,,0
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,20,2011,422,24,5,0,28,3,0,479,,,,,,,,,,,,0
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,21,2011,329,23,5,0,21,3,0,378,,,,,,,,,,,,0
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,22,2011,266,20,4,0,16,0,0,306,,,,,,,,,,,,0
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,23,2011,170,12,3,0,10,0,0,195,,,,,,,,,,,,0
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,24,2011,130,9,2,0,8,0,0,149,,,,,,,,,,,,0
A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,1,2012,44,3,1,0,3,0,0,51,,,,,,,,,,,,0
