Onnett_id,Tienpit,Tie,Aosa,Aet,Ajr,Vuosi,Kk,Päivä,Kuolleet,Loukkaant,Vakavuusko,Tunti,Vkpv,Ontyyppi,Onluokka,Osallkm,Nopraj,Taajmerk,Pinta,Valoisuus,Sää,Onnpaikka,Liikvalot,Liittyvtie,Noplaji,Nopsuunvas,Nopsuunoik,Taajama,Mo_mol,Toimluokka,Kvl,Raskaskvl,Tienlev,X,Y,Tietyö,Päällyste,Lämpötila,Risteys,Katuosoite,Tietyyppi,Lisäkaisty,Solmutyyp,Liitluok,Lähliittie,Suuntlkm,Toimenpide,Valaisomis,Poikkileik,Päällyslev,Päällystlk
6626268,1,1.0,3.0,1.0,2.0,2011,3,09.03.2011,0,0,0,13,Keskiviikko,8,6,2,40,0,7,1,1,1,-1,,1,60,50,E,1,1,41308.0,4202.0,201.0,382590.0,6675856.0,E,1,1.0,0,HUOPALAHDENTIE X TURUNVÄYLÄ             ,-1,-1,-1,-1,,,1,1,2,114.0,10
6792015,1,1.0,3.0,5.0,1.0,2011,6,17.06.2011,0,1,2,24,Perjantai,49,4,3,40,1,2,4,4,1,1,,1,60,50,K,1,1,41308.0,4202.0,201.0,382550.0,6675979.0,E,1,13.0,4,HUOPALAHDENTIE 30,-1,-1,4,4,40912.0,5.0,1,1,2,104.0,10
6654834,1,1.0,3.0,9.0,1.0,2011,12,03.12.2011,0,0,0,10,Lauantai,86,1,1,40,1,6,1,1,1,1,,1,60,50,K,1,1,41308.0,4202.0,201.0,382543.0,6676019.0,E,1,2.0,4,HUOPALAHDENTIE X TURUNVÄYLÄ             ,-1,-1,4,4,40912.0,5.0,1,1,2,104.0,10
6736824,1,1.0,3.0,28.0,2.0,2011,10,25.10.2011,0,1,2,17,Tiistai,8,6,2,50,1,1,1,1,1,1,,1,60,50,K,1,1,41308.0,4202.0,201.0,382570.0,6675827.0,E,1,8.0,4,TURUNVÄYLÄ X HUOPALAHDENTIE             ,-1,-1,-1,-1,,,1,1,2,114.0,10
6691400,1,1.0,3.0,29.0,2.0,2011,10,15.10.2011,0,0,0,20,Lauantai,7,6,2,60,1,1,4,2,1,1,,1,60,50,K,1,1,41308.0,4202.0,201.0,382568.0,6675840.0,E,1,5.0,4,TURUNVÄYLÄ X HUOPALAHDENTIE             ,-1,-1,-1,-1,,,1,1,2,114.0,10
6583201,1,1.0,3.0,118.0,1.0,2011,2,03.02.2011,0,1,2,7,Torstai,82,1,1,80,0,6,4,3,1,-1,,1,60,80,E,1,1,41308.0,4202.0,234.0,382455.0,6675924.0,E,1,-1.0,0,TURUNVÄYLÄ                              ,-1,-1,-1,-1,,,1,1,2,104.0,10
6815740,1,1.0,3.0,126.0,1.0,2011,8,23.08.2011,0,0,0,7,Tiistai,81,13,2,100,0,2,1,1,1,-1,,1,60,80,E,1,1,41308.0,4202.0,234.0,382448.0,6675921.0,E,1,15.0,0,TURUNVÄYLÄ                              ,-1,-1,-1,-1,,,1,1,2,104.0,10
6736850,1,1.0,3.0,198.0,2.0,2011,11,05.11.2011,0,0,0,1,Lauantai,8,6,2,60,0,1,4,1,1,-1,,1,60,100,E,1,1,41308.0,4202.0,267.0,382407.0,6675884.0,E,1,8.0,0,TURUNVÄYLÄ X HUOPALHDENTIE              ,-1,5,-1,-1,,,1,1,2,115.0,10
6863103,1,1.0,3.0,260.0,1.0,2011,8,09.08.2011,0,0,0,10,Tiistai,80,1,1,100,0,2,1,2,1,-1,,1,60,100,E,1,1,41308.0,4202.0,234.0,382316.0,6675926.0,E,1,18.0,0,TURUNVÄYLÄ                              ,-1,-1,-1,-1,,,1,1,2,104.0,10
6712942,1,1.0,3.0,287.0,1.0,2011,11,11.11.2011,0,1,2,13,Perjantai,3,3,3,80,0,1,1,2,1,-1,,1,60,100,E,1,1,41308.0,4202.0,234.0,382290.0,6675929.0,E,1,6.0,0,TURUNVÄYLÄ                              ,-1,-1,-1,-1,,,1,1,2,104.0,10
6886123,1,1.0,3.0,645.0,2.0,2011,5,12.05.2011,0,2,2,17,Torstai,8,6,4,80,0,1,1,1,1,-1,,1,60,100,E,1,1,41308.0,4202.0,267.0,381967.0,6675895.0,E,1,20.0,0,TURUNVÄYLÄ                              ,-1,5,-1,-1,,,1,1,2,115.0,10
6736837,1,1.0,3.0,789.0,2.0,2011,5,05.05.2011,0,1,2,9,Torstai,8,6,4,80,0,1,1,1,1,-1,,1,80,100,E,1,1,41308.0,4202.0,267.0,381825.0,6675871.0,E,1,8.0,0,TURUNVÄYLÄ                              ,-1,5,-1,-1,,,1,1,2,115.0,10
6614857,1,1.0,3.0,1003.0,1.0,2011,1,30.01.2011,0,0,0,13,Sunnuntai,89,1,1,100,0,6,1,1,1,-1,,1,80,100,E,1,1,41308.0,4202.0,234.0,381584.0,6675884.0,E,1,0.0,0,TURUNVÄYLÄ                              ,-1,-1,-1,-1,,,1,1,2,104.0,10
6924114,1,1.0,3.0,1539.0,2.0,2011,6,10.06.2011,0,1,2,19,Perjantai,81,1,1,100,0,1,1,1,1,-1,,1,100,100,E,1,1,41308.0,4202.0,267.0,381104.0,6676031.0,E,1,30.0,0,TURUNVÄYLÄ                              ,-1,5,-1,-1,,,1,1,2,115.0,10
