,piste,nimi,x_gk25,y_gk25,suunta,aika,vuosi,ha,pa,ka,ra,la,mp,rv,autot
0,A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,1,2011,76,5,1,0,5,0,0,316
1,A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,2,2011,65,5,1,0,4,0,0,251
2,A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,3,2011,61,4,1,0,4,0,0,176
3,A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,4,2011,52,4,1,0,3,0,0,146
4,A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,5,2011,31,2,0,0,2,0,0,170
5,A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,6,2011,76,5,1,0,5,0,0,381
6,A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,7,2011,42,4,1,0,7,0,0,1214
10,A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,8,2011,40,12,0,0,9,0,0,2832
14,A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,9,2011,105,15,0,0,12,0,0,5151
18,A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,10,2011,326,47,12,0,37,6,0,3530
19,A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,11,2011,260,93,24,0,12,6,0,2665
20,A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,12,2011,316,58,13,0,12,15,0,2908
21,A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,13,2011,353,69,25,1,21,0,0,3055
22,A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,14,2011,388,64,20,0,23,4,0,3002
23,A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,15,2011,385,71,12,0,29,9,0,3004
24,A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,16,2011,96,10,3,0,6,2,0,3328
28,A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,17,2011,119,15,1,0,10,12,0,3492
32,A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,18,2011,120,8,0,0,7,4,0,3179
36,A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,19,2011,334,28,1,1,26,7,0,2910
37,A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,20,2011,422,24,5,0,28,3,0,2335
38,A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,21,2011,329,23,5,0,21,3,0,1885
39,A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,22,2011,266,20,4,0,16,0,0,1322
40,A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,23,2011,170,12,3,0,10,0,0,808
41,A01,LAUTTASAAREN SILTA,25494426,6672169,1.0,24,2011,130,9,2,0,8,0,0,536
42,A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,1,2011,95,7,1,0,6,0,0,389
43,A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,2,2011,55,4,1,0,3,0,0,261
44,A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,3,2011,67,5,1,0,4,0,0,177
45,A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,4,2011,59,5,1,0,4,0,0,160
46,A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,5,2011,24,2,0,0,1,0,0,116
47,A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,6,2011,56,4,1,0,3,0,0,269
48,A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,7,2011,26,4,2,0,9,0,0,987
52,A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,8,2011,49,19,2,0,9,1,0,2044
56,A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,9,2011,144,18,8,0,9,5,0,2802
60,A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,10,2011,330,63,22,1,21,7,0,2644
61,A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,11,2011,313,46,13,10,14,4,0,2399
62,A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,12,2011,304,59,15,2,24,0,0,2906
63,A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,13,2011,369,75,14,0,16,6,0,2980
64,A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,14,2011,367,74,14,1,24,3,0,2882
65,A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,15,2011,403,71,19,0,33,7,0,2966
66,A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,16,2011,104,10,0,0,8,4,0,3362
70,A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,17,2011,143,10,2,0,11,7,0,4185
74,A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,18,2011,155,9,0,0,9,3,0,4053
78,A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,19,2011,466,23,1,0,27,18,0,3349
79,A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,20,2011,437,30,6,1,26,5,0,3004
80,A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,21,2011,399,31,6,0,24,0,0,2534
81,A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,22,2011,374,29,5,0,23,0,0,1954
82,A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,23,2011,215,18,3,0,13,0,0,1236
83,A01,LAUTTASAAREN SILTA,25494426,6672169,2.0,24,2011,167,13,2,0,10,0,0,708
84,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,1,2011,116,6,1,2,7,0,0,690
85,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,2,2011,74,3,1,2,4,0,0,414
86,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,3,2011,48,2,0,1,3,0,0,294
87,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,4,2011,42,2,1,1,2,0,0,233
88,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,5,2011,54,3,0,1,3,0,0,338
89,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,6,2011,194,9,1,4,10,0,0,1531
90,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,7,2011,71,22,6,4,13,0,0,8346
94,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,8,2011,429,50,15,3,27,8,0,16676
98,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,9,2011,901,24,5,4,26,10,0,20039
102,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,10,2011,1928,168,37,8,97,22,0,14030
103,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,11,2011,1091,178,30,6,63,22,0,8706
104,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,12,2011,1147,149,35,14,54,9,0,8831
105,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,13,2011,1209,121,42,24,70,9,0,8747
106,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,14,2011,1074,106,41,25,65,15,0,7898
107,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,15,2011,1055,129,45,22,84,15,0,8212
108,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,16,2011,308,35,10,8,25,7,0,10017
112,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,17,2011,408,24,8,5,32,3,0,11372
116,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,18,2011,383,18,4,10,31,7,0,11118
120,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,19,2011,1223,62,17,17,93,44,0,9235
121,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,20,2011,1061,58,5,28,32,8,0,6319
122,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,21,2011,899,42,9,15,48,8,0,5267
123,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,22,2011,541,25,5,9,29,2,0,3707
124,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,23,2011,321,16,3,6,18,1,0,2024
125,A02,LAPINLAHDEN SILTA,25494579,6672693,1.0,24,2011,233,11,3,4,13,1,0,1309
126,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,1,2011,158,8,2,3,8,0,0,1199
127,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,2,2011,100,5,1,2,6,0,0,643
128,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,3,2011,54,3,1,1,3,0,0,405
129,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,4,2011,47,2,1,1,2,0,0,307
130,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,5,2011,37,2,0,1,2,0,0,294
131,A02,LAPINLAHDEN SILTA,25494579,6672693,2.0,6,2011,83,4,1,1,5,0,0,569
